r-gram,Counts
bcf,143384
cfc,490388
fcc,207113
ccf,222808
ccb,101808
cbb,88054
bbf,53267
bfb,20642
fbc,67939
bcc,108200
cbf,65755
bfc,141121
fcf,274664
cfb,122202
bcb,75237
cbc,208184
cff,30647
ffc,38950
fbf,51855
fcb,181397
ccc,60278
bbc,57230
fbb,23014
bff,9151
cck,5837
ckc,19390
kcf,2414
kcb,4693
bbb,29745
fck,7322
kcc,15140
cbk,1142
bkc,2826
bck,6821
bbk,699
fbk,887
ffb,848
ckb,567
kbk,117
kbf,45
kbc,288
fff,32
kbb,128
bkb,11
bfk,8
fkc,41
cfk,33
bkk,1
kkc,1
bkf,7
kfc,37
kck,10
ckf,33
kfb,3
