r-gram,Counts
gb,97675
bh,35448
hi,1514
ig,34938
gc,136837
cc,49397
cg,95995
gf,155873
fd,50338
dh,17071
hc,41550
cd,57526
da,52128
ai,48621
ia,26319
aa,13026
ag,100115
hb,12014
bd,34515
dg,118056
fh,32658
ci,42756
ib,74533
bi,36825
ii,16094
if,68666
fb,38463
ce,7496
eg,40168
fg,110026
bg,116239
gi,30511
ba,11222
ic,63910
bb,17133
ge,30424
fc,19392
fa,33906
ie,10034
eh,6712
hf,50891
gd,84087
ga,75098
di,86063
de,4304
eb,4505
fe,9327
ei,9343
id,28709
bf,22528
ef,1292
af,21550
ha,27701
ae,4293
ad,27072
df,18874
fi,54163
ah,28798
ab,12293
bc,7218
ec,2520
gg,42012
ff,41639
ch,29266
ed,4594
cb,19539
cf,8599
be,3865
ac,7353
hd,23113
dd,21414
ca,22223
db,8838
gh,6960
hg,1927
he,890
dc,4620
ea,1499
ih,2687
ee,597
hh,731
