r-gram,Counts
uza,2056
zat,2181
atʃ,2676
tʃe,4633
ʃet,1581
etk,393
tku,188
kuj,275
ujɛ,3156
jɛu,2097
ɛus,1287
ust,2956
stʋ,3484
tʋa,1631
ʋar,1242
ari,2466
riw,2039
iwb,325
wbo,608
bok,1759
okn,282
knɛ,203
nɛb,719
ɛbe,529
bes,381
esa,1079
sai,609
ain,7961
inz,2535
nze,127
zem,1405
eml,946
mlj,1153
ljɔ,733
jɔi,1540
ɔin,5414
lja,2914
jaj,1292
ajɛ,4889
jɛb,3988
ɛbi,4295
bil,4448
ila,2613
lap,1474
apu,357
pus,1035
sta,6908
tai,675
inp,5437
npr,2217
pra,5419
raz,2277
azn,842
zna,2063
nai,860
int,2793
nte,335
tem,1666
ema,463
maj,879
lan,857
ana,4350
nad,1275
adb,75
dbr,102
bre,743
rez,342
ezn,282
znɔ,245
nɔm,629
ɔmi,1793
min,4374
ind,2443
ndu,284
duɣ,91
uɣb,32
ɣbo,51
boʒ,1038
oʒj,1075
ʒji,354
jij,175
ijɛ,4153
jɛp,4201
ɛpl,135
pla,623
laʋ,1563
aʋa,1946
ʋaw,1946
awn,1592
wna,1689
nat,3106
atʋ,1077
tʋɔ,2873
ʋɔd,696
ɔda,2328
dam,1015
ami,2758
mii,802
iin,7586
inr,1730
nre,1020
ret,5453
etʃ,5794
tʃɛ,8396
ʃɛb,337
ɛbo,1613
boɡ,1863
oɡb,45
ɡbo,147
bod,2131
odi,2217
dis,1024
isʋ,1447
sʋɛ,1214
ʋɛt,1931
ɛtl,465
tlo,83
lob,103
oba,364
bai,204
inb,1565
nbi,350
laj,754
jɛs,2692
ɛsʋ,1605
inʋ,1510
nʋi,379
ʋid,2599
idɛ,2646
dɛw,959
ɛwj,611
wjɛ,2021
oks,162
ksʋ,165
tlɔ,64
lɔb,293
ɔbɔ,907
bɔd,2083
daj,4228
jɛd,2098
ɛdo,667
dob,802
obr,291
bra,2156
rai,554
inl,650
nlɔ,35
lɔt,692
ɔtʃ,4355
tʃi,6769
ʃiw,626
iwj,891
bɔo,15
ɔot,365
ott,392
